score,list
0.7269503546099291,f22
0.8416075650118203,f10
0.8900709219858156,f19
0.9243498817966903,f8
0.9491725768321513,f7
0.9515366430260047,f13
0.9550827423167849,f1
0.958628841607565,f25
0.958628841607565,f16
0.9609929078014184,f20
0.9621749408983451,f4
0.9621749408983451,f14
0.9609929078014184,f32
0.9633569739952719,f2
0.9598108747044918,f26
0.958628841607565,f34
0.9527186761229315,f18
0.9349881796690307,f17
0.9302600472813238,f24
0.9290780141843972,f28
0.9137115839243499,f29
0.900709219858156,f6
0.892434988179669,f31
0.892434988179669,f3
0.8841607565011821,f33
0.8829787234042553,f35
0.8747044917257684,f21
0.8711583924349882,f30
0.8617021276595744,f9
0.8569739952718676,f0
0.8628841607565012,f11
0.8439716312056738,f12
0.8380614657210402,f5
0.8333333333333334,f15
0.83451536643026,f23
0.8262411347517731,f27
