Feature,Acc
f4,0.6808510638297872
f13,0.789598108747045
f14,0.8156028368794326
f16,0.8238770685579196
f7,0.8356973995271868
f22,0.8368794326241135
f26,0.8617021276595744
f1,0.8747044917257684
f20,0.8947990543735225
f31,0.8853427895981087
f34,0.9018912529550828
f2,0.9042553191489362
f28,0.8888888888888888
f25,0.8912529550827423
f19,0.9089834515366431
f17,0.8971631205673759
f32,0.9101654846335697
f8,0.9243498817966903
f0,0.91725768321513
f10,0.925531914893617
f21,0.9113475177304965
f11,0.9042553191489362
f33,0.8947990543735225
f6,0.8841607565011821
f15,0.8782505910165485
f35,0.8794326241134752
f29,0.875886524822695
f18,0.8699763593380615
f27,0.8546099290780141
f9,0.8498817966903073
f3,0.8380614657210402
f30,0.83451536643026
f24,0.8262411347517731
f23,0.8274231678486997
f12,0.8108747044917257
f5,0.8262411347517731
